code;orgTypeFormula;name;nameShorten;address_address_line;address_city;address_region;address_state;address_zipcode;address_district;address_cityName
4F2D;РНПЦ;Государственное учреждение «Республиканский научно-практический центр онкологии и медицинской радиологии им. Н.Н. Александрова»;Республиканский научно-практический центр онкологии и медицинской радиологии им. Н.Н. Александрова;Лесной;аг. Лесной;Минская обл.;Минская обл.;223040;Мінскі;Лесной
0SCN;РНПЦ;Государственное учреждение «Республиканский научно-практический центр медицинской экспертизы и реабилитации»;Республиканский научно-практический центр медицинской экспертизы и реабилитации;Колодищанский с/с, 93;д. Юхновка;Минская обл.;Минская обл.;223027;Калодзішчанскі;Юхновка
BS07;РНПЦ;Республиканское унитарное предприятие «Научно-практический центр гигиены»;Республиканское унитарное предприятие «Научно-практический центр гигиены;ул. Академическая, 8;г. Минск;г. Минск;Минская обл.;220012;Мінскі;Минск
05VJ;РНПЦ;Государственное учреждение «Республиканский научно-практический центр травматологии и ортопедии»;Республиканский научно-практический центр травматологии и ортопедии;ул. Кижеватова, 60, корп. 4;г. Минск;г. Минск;Минская обл.;220024;Мінскі;Минск
8E3B;РНПЦ;Государственное учреждение «Республиканский научно-практический центр эпидемиологии и микробиологии»;Республиканский научно-практический центр эпидемиологии и микробиологии;ул. Филимонова, 23;г. Минск;г. Минск;Минская обл.;220114;Мінскі;Минск
LCPB;РНПЦ;Государственное учреждение «Республиканский научно-практический центр „Кардиология“»;Республиканский научно-практический центр „Кардиология“;ул. Р. Люксембург, 110 б;г. Минск;г. Минск;Минская обл.;220036;Мінскі;Минск
LJ4U;Больница;Государственное учреждение «Республиканская клиническая больница медицинской реабилитации»;Республиканская клиническая больница медицинской реабилитации;д. Аксаковщина;д. Аксаковщина;Минская обл.;Минская обл.;223032;Мінскі;Аксаковщина
J588;РНПЦ;Государственное учреждение «Республиканский научно-практический центр радиационной медицины и экологии человека»;Республиканский научно-практический центр радиационной медицины и экологии человека;ул. Ильича, 290;г. Гомель;г. Гомель;Гомельская обл.;246040;Гомельскі;Гомель
IR04;РНПЦ;Государственное учреждение «Республиканский научно-практический центр неврологии и нейрохирургии»;Республиканский научно-практический центр неврологии и нейрохирургии;ул. Ф. Скорины, 24;г. Минск;г. Минск;Минская обл.;220114;Мінскі;Минск
8IIR;РНПЦ;Государственное учреждение «Республиканский научно-практический центр трансфузиологии и медицинских биотехнологий»;Республиканский научно-практический центр трансфузиологии и медицинских биотехнологий;Долгиновский тракт, 160;г. Минск;г. Минск;Минская обл.;220053;Мінскі;Минск
SDJ6;РНПЦ;Государственное учреждение «Республиканский научно-практический центр медицинских технологий, информатизации, управления и экономики здравоохранения»;Республиканский научно-практический центр медицинских технологий, информатизации, управления и экономики здравоохранения;ул. П. Бровки, 7а;г. Минск;г. Минск;Минская обл.;220013;Мінскі;Минск
8LHT;Ведомственное УЗ ВС КГБ МВД;Кафедра травматологии, ортопедии и военно-полевой хирургии;Кафедра травматологии, ортопедии и военно-полевой хирургии;ул. Советских Пограничников, 115;г. Гродно;г. Гродно;Гродненская обл.;230024;Гродзенскі;Гродно
BP51;Центр гигиены и эпидемиологии;Государственное учреждение «Центр гигиены и эпидемиологии» Управления делами Президента Республики Беларусь;Центр гигиены и эпидемиологии Управления делами Президента Республики Беларусь;ул. Чкалова, 14-2-311;г. Минск;г. Минск;Минская обл.;220039;Мінскі;Минск
BHEN;Больница;Учреждение здравоохранения «11-я городская клиническая больница»;11-я городская клиническая больница;ул. Корженевского, 4;г. Минск;г. Минск;Минская обл.;220108;Мінскі;Минск
SJNN;Больница;Учреждение здравоохранения «Барановичская городская больница № 2»;Барановичская городская больница № 2;Слонимское шоссе, 8;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
D93S;Больница;Учреждение здравоохранения «Брестская городская больница № 1»;Брестская городская больница № 1;ул. Кижеватова, 76;г. Брест;г. Брест;Брестская обл.;224024;Брэсцкі;Брест
7VHF;Поликлиника;Городская поликлиника;Городская поликлиника;ул. Октябрьская, 4;г. Калинковичи;Гомельская обл.;Гомельская обл.;247710;Калінкавіцкі;Калинковичи
P487;Больница;Оршанская городская больница № 4;Оршанская городская больница № 4;пер. Дальний, 4;г. Орша;Витебская обл.;Витебская обл.;211386;Аршанскі;Орша
AECS;Больница;Полоцкая городская больница № 1 ГУЗ «Полоцкая центральная городская больница»;Полоцкая городская больница № 1 ГПолоцкая центральная городская больница;ул. Гагарина, 241;г. Полоцк;Витебская обл.;Витебская обл.;211400;Полацкі;Полоцк
MP56;Ведомственное УЗ ВС КГБ МВД;Управление медицинского обеспечения Департамента финансов и тыла Министерства внутренних дел Республики Беларусь;Управление медицинского обеспечения Департамента финансов и тыла Министерства внутренних дел Республики Беларусь;ул. Короля, 71;г. Минск;г. Минск;г. Минск;220004;Мінскі;Минск
